,participant,intensity,subtech,start_frame,stop_frame,cycle_time,cycle_distance,cycle_speed
0,P3,easy,dp,34125,34459,1.3916666666666666,3.5865523853835057,9.277788206501047
0,P3,easy,dp,37010,37250,1.0,3.3069817848600493,11.905134425496177
1,P3,easy,dp,37250,37516,1.1083333333333334,3.14289004569267,10.208484960445364
2,P3,easy,dp,37516,37980,1.9333333333333333,7.0800886305602795,13.183613312077762
3,P3,easy,dp,37980,38446,1.9416666666666667,8.10710552451998,15.031199942457647
4,P3,easy,dp,38446,38850,1.6833333333333333,8.261617415766008,17.668409522826312
5,P3,easy,dp,38850,39227,1.5708333333333333,7.524971172706733,17.245557276441957
0,P3,easy,dp,51240,51699,1.9125,7.2832850169414085,13.70971297306618
1,P3,easy,dp,51699,52143,1.85,6.447860269143922,12.547187550766552
2,P3,easy,dp,52143,52589,1.8583333333333334,7.467584699347292,14.466352422053948
3,P3,easy,dp,52589,53014,1.7708333333333333,6.632470239540888,13.483421851678417
4,P3,easy,dp,53014,53445,1.7958333333333334,6.8772338392485555,13.786380596544667
5,P3,easy,dp,53445,53871,1.775,6.885180455476097,13.964309656176873
6,P3,easy,dp,53871,54304,1.8041666666666667,6.855335800172368,13.679007231752715
7,P3,easy,dp,54304,54555,1.0458333333333334,4.275876734579427,14.718555771620018
8,P3,easy,dp,54555,54759,0.85,3.797700458054142,16.08437841058225
0,P3,easy,dp,57011,57445,1.8083333333333333,5.716325414228175,11.379965801597104
1,P3,easy,dp,57445,57875,1.7916666666666667,5.829350375725179,11.71292726657338
2,P3,easy,dp,57875,58294,1.7458333333333333,6.386828310057886,13.169975321933208
3,P3,easy,dp,58294,58712,1.7416666666666667,6.499255929011758,13.433868714512343
4,P3,easy,dp,58712,59123,1.7125,6.379392898588336,13.410694560536065
5,P3,easy,dp,59123,59692,2.370833333333333,7.724801332086223,11.729751056102808
0,P3,easy,diagonal,1120,1483,1.5125,2.573746993295516,6.125943256769493
1,P3,easy,diagonal,1483,1870,1.6125,3.199801592873737,7.143743091066948
2,P3,easy,diagonal,1870,2244,1.5583333333333333,4.344473347185533,10.036430406332354
0,P3,easy,diagonal,19641,19843,0.8416666666666667,0.6226987274125053,2.663424259823785
1,P3,easy,diagonal,19843,20090,1.0291666666666666,0.6955584552138057,2.433046580181086
2,P3,easy,diagonal,20090,20414,1.35,1.4595304451977398,3.8920811871939724
3,P3,easy,diagonal,20414,20748,1.3916666666666666,2.0358726490726977,5.266449008379674
4,P3,easy,diagonal,20748,21036,1.2,1.8113962468602427,5.434188740580728
5,P3,easy,diagonal,21036,21313,1.1541666666666666,1.3984933307413863,4.362087500940642
6,P3,easy,diagonal,21313,21665,1.4666666666666666,1.7033787078324225,4.181020464679583
7,P3,easy,diagonal,21665,21919,1.0583333333333333,1.2544595489052646,4.267137993126569
0,P3,easy,heringbone,22911,23258,1.4458333333333333,0.7742986256168243,1.927936635541603
1,P3,easy,heringbone,23258,23789,2.2125,1.7757758324905069,2.8893979647303163
2,P3,easy,heringbone,23789,24019,0.9583333333333334,0.8937464021667133,3.3573777890088707
3,P3,easy,heringbone,24019,24162,0.5958333333333333,0.49398447031515325,2.9846334430230237
4,P3,easy,heringbone,24162,24497,1.3958333333333333,1.3410530826670648,3.4587160102219228
5,P3,easy,heringbone,24497,24797,1.25,1.5874189637357177,4.571766615558867
6,P3,easy,heringbone,24797,25103,1.275,1.471843842439125,4.155794378651647
