,P3,P3,P3,P5,P5,P5,P6,P6,P6,P7,P7,P7,P12,P12,P12,P13,P13,P13
,easy,hard,medium,easy,hard,medium,easy,hard,medium,easy,hard,medium,easy,hard,medium,easy,hard,medium
31,273.11710523119797,271.35186292589646,253.15372794134916,237.7062125451554,248.5021216609847,233.37491131592802,257.4386966468237,275.74049593287594,254.75997780897603,263.06104577184095,262.6061607912358,258.4310202592356,264.9144288026296,277.6159129718551,261.0413388497443,230.9237549944254,225.51175405133358,229.15182017570964
32,276.5736884162223,275.8414628291649,259.60147561933695,246.55654756415134,257.9281769580779,241.78528890235685,265.508761492627,284.5215244121808,265.3228111203856,270.37653145904824,270.68524282971316,267.2396334498558,272.58757833446066,283.7432306994442,267.12281488873805,240.44853775333368,234.04149643681166,236.4152578572491
33,278.96920773468275,279.55761391340354,263.7037115585794,255.54066518153704,267.0941403350662,249.99138782756847,273.12385011027015,293.020172767461,273.2415498790409,276.6269726660939,277.793159318963,273.82031823644155,278.418227591066,288.68886248991214,273.4208634634181,248.19639362996796,241.8978008852299,245.49841112657774
34,282.5760462125668,283.05770997441533,266.81023860093654,262.37338809940724,275.9427853251802,257.9489914312741,279.6578865306107,298.35527101698455,280.5942610603654,281.54517420733646,283.50267601544806,280.6554996302493,284.0460804133442,292.7413534346016,280.14139434139696,255.95288958027086,249.60637059628365,252.11938208567875
35,285.67791825114057,286.95237100156,270.1854078367545,270.84873342116236,282.45916239784094,265.628863863156,285.082110041656,305.2310542619606,287.29497907961246,286.5902683461913,288.441336996472,286.4810540804444,288.7299441754466,296.41548307669194,285.12096858123164,263.45532860728264,258.6040862918998,260.3347897165358
36,288.4154280622833,290.72344002868994,274.26999827747113,278.91455737904096,290.17414274755754,272.767521346435,290.1298816489578,311.2151591977803,294.8176684772514,290.80872032701967,293.1278777184079,291.06665369410496,292.781983343479,299.5948059725631,289.62314452791264,270.71856604829645,266.4199025214076,266.7582429160127
37,290.6843051761502,294.19117729872494,277.0731774278354,285.8398527591885,297.13959200475466,279.2969757806564,294.68952587983944,315.66028317282763,300.06697572619595,294.9526130632695,297.65693257292594,296.035228490266,295.529630928924,302.43680420103476,293.89491260326685,276.9263066022869,273.4127612073786,273.64855954930005
38,292.0648310191388,297.2943203753982,279.9981176372094,291.7256737278814,303.4788768410706,284.9689898792562,298.65250792213646,322.2687295596937,304.7297642342861,299.0415670671756,301.8207213605469,300.42798480867793,297.8765841494943,305.1014453480149,298.23781500559437,282.97820260800967,279.78046078767034,279.3646231571929
39,294.3061994281064,299.94951694544585,283.50610493584634,296.70165960168174,308.99621490316395,290.0343556778751,302.7706570985736,330.6820077184588,310.2142455835185,302.45281623766766,305.18378931348917,303.7522211070829,300.41016262780465,307.5287070467015,301.5274181710754,287.783540919366,285.2707902609416,285.1283614729334
40,296.87653544670326,302.7244557261421,286.5068224761263,301.1451357283896,313.80076774166804,294.71399117872727,306.7991772460403,341.00733422346804,314.97502136863005,305.78864441261896,309.49959514963894,307.85834508941036,303.1980799169798,309.79128840119455,304.3869794101406,291.7968852782068,290.5490442927472,290.3220874367979
41,300.1344096642393,305.5773943121558,289.36148912885767,305.26641618677894,318.57173941652024,299.111115460023,311.44705329410147,349.27590515184994,320.7097459996564,309.35706267459113,314.59755660169475,311.85884375077023,305.5289351516796,312.1645582721288,307.35436750816075,295.1834655925342,295.62146448040414,294.10858991272556
42,302.6393011978135,308.1667728055265,291.86313241083496,309.3336636214041,323.3402403390676,303.17359026145766,317.8615699161442,361.0798496661858,330.46470389880466,313.78046142824763,321.6910695613282,316.12095202896705,307.6462615786205,314.2546048955809,310.48203300090574,298.1564468847634,300.1278709068539,298.39260217430916
43,305.4062161066876,310.4435320026684,294.0279021000794,313.2155534538462,328.95504391547644,307.1881464398851,326.7548067088125,372.6497337691602,340.5695520902252,321.52427995503615,331.3093265812749,323.3910494274032,310.1971104035423,316.35967013079613,313.2947046356558,301.9075353494756,304.1290336863006,301.9753384802626
44,308.1689165739449,312.75800513828113,296.4497548409473,317.2824027743035,336.0639055933055,311.6449563065303,338.2458272025403,380.35929568762214,351.2723385902213,333.2307743918332,342.5993695072513,334.1394868698672,313.6231255855992,319.23317280241787,317.7147673765203,304.6624320845397,307.8230031333799,306.8938093109476
45,311.33619262672363,314.87801883070216,298.5427122707549,322.1052726148169,342.4207350917933,317.3413906736228,350.82527338845125,390.07541783176174,364.5860471589667,348.29282754127036,354.30416120900924,345.2822683913683,318.0346712180475,322.4421054572172,326.63443397362204,307.5235625421478,311.00628348972725,311.9337832639061
